"id","semantic_key","label","definition","notation_json","source_bindings_json","rights_id","status","record_json"
"urn:uuid:001a64cc-b78d-547b-a67c-444d14e93576","lebl.ra.concept.ledger.coordinate.polar","polar coordinates","","[]","[]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","{""definition"":"""",""id"":""urn:uuid:001a64cc-b78d-547b-a67c-444d14e93576"",""label"":""polar coordinates"",""notation"":[],""record_type"":""concept"",""recorded_at"":""2026-08-24T00:00:00Z"",""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.concept.ledger.coordinate.polar"",""source_bindings"":[],""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.4-live""}"
"urn:uuid:00205b8c-aff2-55b0-9fa8-8ea73e7e6b4f","lebl.ra.concept.ledger.function.continuous-extension","continuous extension","","[]","[]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","{""definition"":"""",""id"":""urn:uuid:00205b8c-aff2-55b0-9fa8-8ea73e7e6b4f"",""label"":""continuous extension"",""notation"":[],""record_type"":""concept"",""recorded_at"":""2026-08-21T00:00:00Z"",""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.concept.ledger.function.continuous-extension"",""source_bindings"":[],""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:016bb06d-e722-5d3a-96ee-52ce5df0906c","lebl.ra.concept.ledger.map.complex-conjugation","complex conjugation map","","[]","[]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","{""definition"":"""",""id"":""urn:uuid:016bb06d-e722-5d3a-96ee-52ce5df0906c"",""label"":""complex conjugation map"",""notation"":[],""record_type"":""concept"",""recorded_at"":""2026-08-24T00:00:00Z"",""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.concept.ledger.map.complex-conjugation"",""source_bindings"":[],""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.4-live""}"
"urn:uuid:0184b2c4-b2a7-5559-b251-51ee2622622f","lebl.ra.concept.ledger.series.cauchy","Cauchy series","","[]","[]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","{""definition"":"""",""id"":""urn:uuid:0184b2c4-b2a7-5559-b251-51ee2622622f"",""label"":""Cauchy series"",""notation"":[],""record_type"":""concept"",""recorded_at"":""2026-08-21T00:00:00Z"",""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.concept.ledger.series.cauchy"",""source_bindings"":[],""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:01a9c4ab-35f2-5338-98db-56f22c1b2ce1","lebl.ra.concept.ledger.geometry.curve.figure-eight","figure-eight curve","","[]","[]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","{""definition"":"""",""id"":""urn:uuid:01a9c4ab-35f2-5338-98db-56f22c1b2ce1"",""label"":""figure-eight curve"",""notation"":[],""record_type"":""concept"",""recorded_at"":""2026-08-24T00:00:00Z"",""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.concept.ledger.geometry.curve.figure-eight"",""source_bindings"":[],""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.4-live""}"
"urn:uuid:032924c5-be07-5b94-bb77-aa1a367693ff","lebl.ra.concept.ledger.continuity.uniform-equicontinuity","uniform equicontinuity","","[]","[]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","{""definition"":"""",""id"":""urn:uuid:032924c5-be07-5b94-bb77-aa1a367693ff"",""label"":""uniform equicontinuity"",""notation"":[],""record_type"":""concept"",""recorded_at"":""2026-08-24T00:00:00Z"",""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.concept.ledger.continuity.uniform-equicontinuity"",""source_bindings"":[],""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.4-live""}"
"urn:uuid:03d8b547-82e8-52b7-a94c-fe2da3dd55a2","lebl.ra.concept.ledger.function.lipschitz-continuous","Lipschitz continuous","","[]","[]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","{""definition"":"""",""id"":""urn:uuid:03d8b547-82e8-52b7-a94c-fe2da3dd55a2"",""label"":""Lipschitz continuous"",""notation"":[],""record_type"":""concept"",""recorded_at"":""2026-08-21T00:00:00Z"",""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.concept.ledger.function.lipschitz-continuous"",""source_bindings"":[],""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:03ef783d-a9c9-5ec0-a399-9e66d9a320ea","lebl.ra.concept.ledger.metric.inherited","inherited metric","","[]","[]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","{""definition"":"""",""id"":""urn:uuid:03ef783d-a9c9-5ec0-a399-9e66d9a320ea"",""label"":""inherited metric"",""notation"":[],""record_type"":""concept"",""recorded_at"":""2026-08-24T00:00:00Z"",""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.concept.ledger.metric.inherited"",""source_bindings"":[],""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.4-live""}"
"urn:uuid:0417937c-137e-59da-a46a-437a22faa486","lebl.ra.concept.ledger.set.null","null set","","[]","[]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","{""definition"":"""",""id"":""urn:uuid:0417937c-137e-59da-a46a-437a22faa486"",""label"":""null set"",""notation"":[],""record_type"":""concept"",""recorded_at"":""2026-08-24T00:00:00Z"",""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.concept.ledger.set.null"",""source_bindings"":[],""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.4-live""}"
"urn:uuid:045957c0-a13f-560b-8d4f-fcc6fb59a1ca","lebl.ra.concept.ledger.permutation","permutation","","[]","[]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","{""definition"":"""",""id"":""urn:uuid:045957c0-a13f-560b-8d4f-fcc6fb59a1ca"",""label"":""permutation"",""notation"":[],""record_type"":""concept"",""recorded_at"":""2026-08-21T00:00:00Z"",""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.concept.ledger.permutation"",""source_bindings"":[],""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
