"id","semantic_key","title","creators_json","original_language","upstream_uri","repository_uri","rights_id","status","record_json"
"urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465","lebl.diffyqs.resource.primary","Notes on Diffy Qs: Differential Equations for Engineers","[{""name"":""Jiří Lebl"",""role"":""author"",""uri"":""https://www.jirka.org/""}]","en","https://www.jirka.org/diffyqs/","https://github.com/jirilebl/diffyqs","urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f","active","{""creators"":[{""name"":""Jiří Lebl"",""role"":""author"",""uri"":""https://www.jirka.org/""}],""id"":""urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465"",""original_language"":""en"",""record_type"":""resource"",""recorded_at"":""2026-08-20T00:00:00Z"",""repository_uri"":""https://github.com/jirilebl/diffyqs"",""rights_id"":""urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.diffyqs.resource.primary"",""status"":""active"",""supersedes_id"":null,""title"":""Notes on Diffy Qs: Differential Equations for Engineers"",""upstream_uri"":""https://www.jirka.org/diffyqs/"",""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.2""}"
"urn:uuid:884aba97-efd2-550c-a975-a98df314c5d8","lebl.ra.resource.primary","Basic Analysis: Introduction to Real Analysis, Volumes I–II","[{""name"":""Jiří Lebl"",""role"":""author"",""uri"":""https://www.jirka.org/""}]","en","https://www.jirka.org/ra/","https://github.com/jirilebl/ra","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","{""creators"":[{""name"":""Jiří Lebl"",""role"":""author"",""uri"":""https://www.jirka.org/""}],""id"":""urn:uuid:884aba97-efd2-550c-a975-a98df314c5d8"",""original_language"":""en"",""record_type"":""resource"",""recorded_at"":""2026-08-20T00:00:00Z"",""repository_uri"":""https://github.com/jirilebl/ra"",""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.resource.primary"",""status"":""active"",""supersedes_id"":null,""title"":""Basic Analysis: Introduction to Real Analysis, Volumes I–II"",""upstream_uri"":""https://www.jirka.org/ra/"",""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.2""}"
"urn:uuid:907ee9c9-fa99-55d1-bcff-29cdb73cd396","lebl.ca.resource.primary","Guide to Cultivating Complex Analysis: Working the Complex Field","[{""name"":""Jiří Lebl"",""role"":""author"",""uri"":""https://www.jirka.org/""}]","en","https://www.jirka.org/ca/","https://github.com/jirilebl/ca","urn:uuid:6f683397-0654-5918-a1bb-a4162673b08b","active","{""creators"":[{""name"":""Jiří Lebl"",""role"":""author"",""uri"":""https://www.jirka.org/""}],""id"":""urn:uuid:907ee9c9-fa99-55d1-bcff-29cdb73cd396"",""original_language"":""en"",""record_type"":""resource"",""recorded_at"":""2026-08-20T00:00:00Z"",""repository_uri"":""https://github.com/jirilebl/ca"",""rights_id"":""urn:uuid:6f683397-0654-5918-a1bb-a4162673b08b"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ca.resource.primary"",""status"":""active"",""supersedes_id"":null,""title"":""Guide to Cultivating Complex Analysis: Working the Complex Field"",""upstream_uri"":""https://www.jirka.org/ca/"",""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.2""}"
