"id","semantic_key","resource_id","edition_id","asset_kind","path","mime_type","sha256","dependencies_json","rights_id","status","record_json"
"urn:uuid:16fad642-5ca3-5f4f-b663-39fa442f37d0","lebl.diffyqs.asset.bibliography.bd.boyce-diprima-meade.en","urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465","urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83","build_dependency","source/diffyqs-v6.11/diffyqs.tex","application/x-tex","sha256:f61deae865fe59b855d74cace17c6fde73d80f49c77c3d3266ce9306d9e920ca","[]","urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f","active","{""asset_kind"":""build_dependency"",""dependencies"":[],""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""id"":""urn:uuid:16fad642-5ca3-5f4f-b663-39fa442f37d0"",""mime_type"":""application/x-tex"",""path"":""source/diffyqs-v6.11/diffyqs.tex"",""record_type"":""asset"",""recorded_at"":""2026-08-24T00:00:00Z"",""resource_id"":""urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465"",""rights_id"":""urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.diffyqs.asset.bibliography.bd.boyce-diprima-meade.en"",""sha256"":""sha256:f61deae865fe59b855d74cace17c6fde73d80f49c77c3d3266ce9306d9e920ca"",""source_binding"":{""content_sha256"":""sha256:f61deae865fe59b855d74cace17c6fde73d80f49c77c3d3266ce9306d9e920ca"",""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""locator"":""raw lines 377-386"",""source_path"":""source/diffyqs-v6.11/diffyqs.tex""},""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.4-live""}"
"urn:uuid:1b9cb7cf-58cb-5a8a-8459-53d5b238cc9b","lebl.diffyqs.asset.bibliography.ep.edwards-penney.en","urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465","urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83","build_dependency","source/diffyqs-v6.11/diffyqs.tex","application/x-tex","sha256:a451c1f2f35d4c0bd4e4dbc400e1a86e360bb4752cbe55fe5e719a325706f371","[]","urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f","active","{""asset_kind"":""build_dependency"",""dependencies"":[],""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""id"":""urn:uuid:1b9cb7cf-58cb-5a8a-8459-53d5b238cc9b"",""mime_type"":""application/x-tex"",""path"":""source/diffyqs-v6.11/diffyqs.tex"",""record_type"":""asset"",""recorded_at"":""2026-08-24T00:00:00Z"",""resource_id"":""urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465"",""rights_id"":""urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.diffyqs.asset.bibliography.ep.edwards-penney.en"",""sha256"":""sha256:a451c1f2f35d4c0bd4e4dbc400e1a86e360bb4752cbe55fe5e719a325706f371"",""source_binding"":{""content_sha256"":""sha256:a451c1f2f35d4c0bd4e4dbc400e1a86e360bb4752cbe55fe5e719a325706f371"",""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""locator"":""raw lines 387-394"",""source_path"":""source/diffyqs-v6.11/diffyqs.tex""},""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.4-live""}"
"urn:uuid:d3bd7e6b-3ac5-560b-83f9-9c97685231da","lebl.diffyqs.asset.nonlinear-systems.figure.chaos-pend.pdf.en","urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465","urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83","figure","source/diffyqs-v6.11/figures/chaos-pend.pdf","application/pdf","sha256:b2071099eceae967e24c3385bd8bc883666dd551562d4487ded1fea271cf8e5d","[]","urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f","active","{""asset_kind"":""figure"",""dependencies"":[],""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""id"":""urn:uuid:d3bd7e6b-3ac5-560b-83f9-9c97685231da"",""mime_type"":""application/pdf"",""path"":""source/diffyqs-v6.11/figures/chaos-pend.pdf"",""record_type"":""asset"",""recorded_at"":""2026-08-24T00:00:00Z"",""resource_id"":""urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465"",""rights_id"":""urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.diffyqs.asset.nonlinear-systems.figure.chaos-pend.pdf.en"",""sha256"":""sha256:b2071099eceae967e24c3385bd8bc883666dd551562d4487ded1fea271cf8e5d"",""source_binding"":{""content_sha256"":""sha256:b2071099eceae967e24c3385bd8bc883666dd551562d4487ded1fea271cf8e5d"",""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""locator"":""entire file"",""source_path"":""source/diffyqs-v6.11/figures/chaos-pend.pdf""},""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.4-live""}"
"urn:uuid:c32bc67b-861d-5aa9-b1a6-3c1683f79b44","lebl.diffyqs.asset.nonlinear-systems.figure.chaos-pend.pdf-t.en","urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465","urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83","figure","source/diffyqs-v6.11/figures/chaos-pend.pdf_t","application/x-fig-overlay","sha256:4e98157fdce97d23b66e569f146ec73f4d640593738943d10a70a50c0860316d","[""urn:uuid:d3bd7e6b-3ac5-560b-83f9-9c97685231da""]","urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f","active","{""asset_kind"":""figure"",""dependencies"":[""urn:uuid:d3bd7e6b-3ac5-560b-83f9-9c97685231da""],""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""id"":""urn:uuid:c32bc67b-861d-5aa9-b1a6-3c1683f79b44"",""mime_type"":""application/x-fig-overlay"",""path"":""source/diffyqs-v6.11/figures/chaos-pend.pdf_t"",""record_type"":""asset"",""recorded_at"":""2026-08-24T00:00:00Z"",""resource_id"":""urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465"",""rights_id"":""urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.diffyqs.asset.nonlinear-systems.figure.chaos-pend.pdf-t.en"",""sha256"":""sha256:4e98157fdce97d23b66e569f146ec73f4d640593738943d10a70a50c0860316d"",""source_binding"":{""content_sha256"":""sha256:4e98157fdce97d23b66e569f146ec73f4d640593738943d10a70a50c0860316d"",""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""locator"":""entire file"",""source_path"":""source/diffyqs-v6.11/figures/chaos-pend.pdf_t""},""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.4-live""}"
"urn:uuid:2a08137d-d813-5699-bc03-109150d94a24","lebl.diffyqs.asset.nonlinear-systems.figure.mv-pend.pdf.en","urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465","urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83","figure","source/diffyqs-v6.11/figures/mv-pend.pdf","application/pdf","sha256:636f314a259ab608c5afd7d2d3e9ab781d6aca5ac71f21128eb17755e5babc62","[]","urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f","active","{""asset_kind"":""figure"",""dependencies"":[],""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""id"":""urn:uuid:2a08137d-d813-5699-bc03-109150d94a24"",""mime_type"":""application/pdf"",""path"":""source/diffyqs-v6.11/figures/mv-pend.pdf"",""record_type"":""asset"",""recorded_at"":""2026-08-24T00:00:00Z"",""resource_id"":""urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465"",""rights_id"":""urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.diffyqs.asset.nonlinear-systems.figure.mv-pend.pdf.en"",""sha256"":""sha256:636f314a259ab608c5afd7d2d3e9ab781d6aca5ac71f21128eb17755e5babc62"",""source_binding"":{""content_sha256"":""sha256:636f314a259ab608c5afd7d2d3e9ab781d6aca5ac71f21128eb17755e5babc62"",""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""locator"":""entire file"",""source_path"":""source/diffyqs-v6.11/figures/mv-pend.pdf""},""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.4-live""}"
"urn:uuid:75c9158f-4b8e-5b23-8ecc-76875305a92b","lebl.diffyqs.asset.nonlinear-systems.figure.mv-pend.pdf-t.en","urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465","urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83","figure","source/diffyqs-v6.11/figures/mv-pend.pdf_t","application/x-fig-overlay","sha256:8877a05c02e65ed4137e9ba66c713135a079d1e492557d1cd4df1fdff221569b","[""urn:uuid:2a08137d-d813-5699-bc03-109150d94a24""]","urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f","active","{""asset_kind"":""figure"",""dependencies"":[""urn:uuid:2a08137d-d813-5699-bc03-109150d94a24""],""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""id"":""urn:uuid:75c9158f-4b8e-5b23-8ecc-76875305a92b"",""mime_type"":""application/x-fig-overlay"",""path"":""source/diffyqs-v6.11/figures/mv-pend.pdf_t"",""record_type"":""asset"",""recorded_at"":""2026-08-24T00:00:00Z"",""resource_id"":""urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465"",""rights_id"":""urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.diffyqs.asset.nonlinear-systems.figure.mv-pend.pdf-t.en"",""sha256"":""sha256:8877a05c02e65ed4137e9ba66c713135a079d1e492557d1cd4df1fdff221569b"",""source_binding"":{""content_sha256"":""sha256:8877a05c02e65ed4137e9ba66c713135a079d1e492557d1cd4df1fdff221569b"",""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""locator"":""entire file"",""source_path"":""source/diffyqs-v6.11/figures/mv-pend.pdf_t""},""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.4-live""}"
"urn:uuid:5b8dd7eb-0234-56b8-a963-10789117fe0c","lebl.diffyqs.asset.nonlinear-systems.figure.nlin-1b-lin-00-01.pdf.en","urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465","urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83","figure","source/diffyqs-v6.11/figures/nlin-1b-lin-00-01.pdf","application/pdf","sha256:a967877de53162a11a56d4d3820fc9b26f3b8a238b3c49b13e3a7b2470033b88","[]","urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f","active","{""asset_kind"":""figure"",""dependencies"":[],""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""id"":""urn:uuid:5b8dd7eb-0234-56b8-a963-10789117fe0c"",""mime_type"":""application/pdf"",""path"":""source/diffyqs-v6.11/figures/nlin-1b-lin-00-01.pdf"",""record_type"":""asset"",""recorded_at"":""2026-08-24T00:00:00Z"",""resource_id"":""urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465"",""rights_id"":""urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.diffyqs.asset.nonlinear-systems.figure.nlin-1b-lin-00-01.pdf.en"",""sha256"":""sha256:a967877de53162a11a56d4d3820fc9b26f3b8a238b3c49b13e3a7b2470033b88"",""source_binding"":{""content_sha256"":""sha256:a967877de53162a11a56d4d3820fc9b26f3b8a238b3c49b13e3a7b2470033b88"",""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""locator"":""entire file"",""source_path"":""source/diffyqs-v6.11/figures/nlin-1b-lin-00-01.pdf""},""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.4-live""}"
"urn:uuid:dd22f555-8a6d-5369-9b5f-358c6109bb50","lebl.diffyqs.asset.nonlinear-systems.figure.nlin-1b.pdf.en","urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465","urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83","figure","source/diffyqs-v6.11/figures/nlin-1b.pdf","application/pdf","sha256:728b61ac90f6af77525fc1e15602f9a2dfa0f4f9b8989c324e8150e2b862b6c2","[]","urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f","active","{""asset_kind"":""figure"",""dependencies"":[],""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""id"":""urn:uuid:dd22f555-8a6d-5369-9b5f-358c6109bb50"",""mime_type"":""application/pdf"",""path"":""source/diffyqs-v6.11/figures/nlin-1b.pdf"",""record_type"":""asset"",""recorded_at"":""2026-08-24T00:00:00Z"",""resource_id"":""urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465"",""rights_id"":""urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.diffyqs.asset.nonlinear-systems.figure.nlin-1b.pdf.en"",""sha256"":""sha256:728b61ac90f6af77525fc1e15602f9a2dfa0f4f9b8989c324e8150e2b862b6c2"",""source_binding"":{""content_sha256"":""sha256:728b61ac90f6af77525fc1e15602f9a2dfa0f4f9b8989c324e8150e2b862b6c2"",""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""locator"":""entire file"",""source_path"":""source/diffyqs-v6.11/figures/nlin-1b.pdf""},""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.4-live""}"
"urn:uuid:23a418e4-0aa3-5f9e-a132-36158b89f331","lebl.diffyqs.asset.nonlinear-systems.figure.nlin-t-vs-t0-abs-relerr.pdf.en","urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465","urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83","figure","source/diffyqs-v6.11/figures/nlin-T-vs-T0-abs-relerr.pdf","application/pdf","sha256:81edb7d31629614973cf50bb69b4a6e99724ce612548d13bb6d5a90d8bb3aa18","[]","urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f","active","{""asset_kind"":""figure"",""dependencies"":[],""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""id"":""urn:uuid:23a418e4-0aa3-5f9e-a132-36158b89f331"",""mime_type"":""application/pdf"",""path"":""source/diffyqs-v6.11/figures/nlin-T-vs-T0-abs-relerr.pdf"",""record_type"":""asset"",""recorded_at"":""2026-08-24T00:00:00Z"",""resource_id"":""urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465"",""rights_id"":""urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.diffyqs.asset.nonlinear-systems.figure.nlin-t-vs-t0-abs-relerr.pdf.en"",""sha256"":""sha256:81edb7d31629614973cf50bb69b4a6e99724ce612548d13bb6d5a90d8bb3aa18"",""source_binding"":{""content_sha256"":""sha256:81edb7d31629614973cf50bb69b4a6e99724ce612548d13bb6d5a90d8bb3aa18"",""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""locator"":""entire file"",""source_path"":""source/diffyqs-v6.11/figures/nlin-T-vs-T0-abs-relerr.pdf""},""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.4-live""}"
"urn:uuid:4433ad2a-cac8-5abc-ab49-32bab453d398","lebl.diffyqs.asset.nonlinear-systems.figure.nlin-duf-long.pdf.en","urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465","urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83","figure","source/diffyqs-v6.11/figures/nlin-duf-long.pdf","application/pdf","sha256:2171bbe77de17bb508f675d7eb6ae0f5188ecd356f1f8c2f6099f0866b62f367","[]","urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f","active","{""asset_kind"":""figure"",""dependencies"":[],""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""id"":""urn:uuid:4433ad2a-cac8-5abc-ab49-32bab453d398"",""mime_type"":""application/pdf"",""path"":""source/diffyqs-v6.11/figures/nlin-duf-long.pdf"",""record_type"":""asset"",""recorded_at"":""2026-08-24T00:00:00Z"",""resource_id"":""urn:uuid:372b97ed-b680-56ea-830b-7b6748d2b465"",""rights_id"":""urn:uuid:55f5bc5b-fcc2-55bd-8bcb-65ab31cc4e0f"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.diffyqs.asset.nonlinear-systems.figure.nlin-duf-long.pdf.en"",""sha256"":""sha256:2171bbe77de17bb508f675d7eb6ae0f5188ecd356f1f8c2f6099f0866b62f367"",""source_binding"":{""content_sha256"":""sha256:2171bbe77de17bb508f675d7eb6ae0f5188ecd356f1f8c2f6099f0866b62f367"",""edition_id"":""urn:uuid:c8f802a9-20a7-5339-ae47-20a368df3c83"",""locator"":""entire file"",""source_path"":""source/diffyqs-v6.11/figures/nlin-duf-long.pdf""},""status"":""active"",""supersedes_id"":null,""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.4-live""}"
